 N , Event , Region , State , National
6,Agriculture and Biotechnology Design ,4,2,3/s
3,Animatronics , ,2,1
6,Architectural Model ,4,Q ,1
1,Career Comparisons , ,2,1
6,Chapter Team , ,1,1
1,CAD Animation Architectural ,4,3,2/s
1,CAD Animation Engineering ,4,3,2/s
2,Construction Systems , ,2,1
5,Cyberspace Pursuit ,3,1,1
3,Debating Technological Issues,,1,2/s
1,Desktop Publishing ,3,Q ,1/s
1,Dragster Design ,7,Q ,2
6,Electronic Game Design,4,2,3/s
6,Electronic Research and Experimentation , ,2,1
5,Engineering Design ,3,2,1
1,Essays on Technology,,1,3/s
1,Extemporaneous Presentation ,5,Q ,3/s
2,Fashion Design,2,2,1
6,Film ,3,1,3/s
1,Future Technology Teacher,,2,3
1,Flight Endurance ,5,2,2
1,Imaging Technology ,5,Q ,1
6,Manufacturing Prototype ,5,2,1
6,Medical Technology ,5,1,3/s
6,Music Production,,2,3/s
6,On Demand Video,3,1
1,Prepared Presentation ,5,Q ,3/s
1,Promotional Graphics ,5,1,2
2,Radio Controlled Transportation , ,2,1
6,SciViz , ,2,3/s
2,Structural Engineering ,4,Q ,1
3,System Control Technology ,2,1,1/s
1,Technical Sketching and Application , ,2,2
3,Technology Bowl ,3,2,1
2,Technology Dare,3,Q,1
2,Technology Problem Solving ,4,Q ,1
1,Transportation Modeling ,5,2,1
1,PA CAD 2D Architecture,4,1
1,PA CAD 3D Engineering,4,1
2,PA Computer Systems Troubleshooting , ,2, 
1,PA Material Process ,5,2, 
2,PA RC Vehicle , ,1, 
1,PA Safety Illustration Computer Graphics ,5,1, 
1,PA Stencil Logo Design , ,2
, 